UserId,Session,ContentIndex,FocusScalingFactor,ContextScalingFactor,Score
601,1,5,1,0.2,0.3641096
601,1,1,0.6,0.2,0.7623378
601,1,5,0.6,0.2,0.9001056
601,1,2,1,0.8,1
601,1,2,1,0.6,0.4790345
601,1,3,1,1,1
601,1,5,0.8,0.4,0.7524172
601,1,3,1,0.6,0.9316117
601,1,1,1,0.6,0.8403771
601,1,1,1,0.6,0.666039
601,1,4,0.8,0.4,0.9656839
601,1,4,1,0.6,1
601,1,1,1,0.4,1
601,1,5,1,0.8,1
601,1,4,0.8,0.2,0.7647572
601,1,5,1,0.6,0.6491735
601,1,5,0.8,0.2,0.3086244
601,1,3,1,0.4,0.6114189
601,1,5,0.6,0.4,0.8292257
601,1,2,0.8,0.2,0.6435735
601,1,1,1,0.8,0.884675
601,1,3,0.8,0.2,0.3402515
601,1,1,0.8,0.2,0.7295473
601,1,1,0.6,0.4,0.3244883
601,1,1,0.8,0.6,0.3822896
601,1,4,0.6,0.4,0.8398941
601,1,2,1,0.4,0.7217615
601,1,3,1,0.6,0.8732646
601,1,3,1,0.8,0.8239098
601,1,5,1,1,0.7293726
601,1,4,0.8,0.6,0.8793963
601,1,5,0.8,0.6,0.8793963
601,1,2,1,0.2,0.5120503
601,1,2,0.8,0.6,0.5120503
601,1,2,0.6,0.4,0.5950682
601,1,2,0.6,0.2,0.7910674
601,1,1,1,1,0.9276809
601,1,2,1,1,0.9276809
601,1,2,0.8,0.4,0.8486897
601,1,4,1,1,0.9639152
601,1,4,1,0.2,0.9639152
601,1,3,0.8,0.4,0.7787065
601,1,4,0.8,0.6,0.9569545
601,1,4,0.6,0.4,0.4537552
601,1,4,1,0.8,0.4537552
601,1,1,0.8,0.4,0.6463426
601,1,4,1,0.4,0.815627
601,1,1,1,0.2,0.6039178
601,1,3,0.6,0.2,0.1919876
601,1,3,0.6,0.4,0.9970802
601,1,3,0.8,0.6,0.8280824
601,1,5,1,0.4,0.9316594
601,1,4,0.6,0.2,0.3848217
601,1,3,1,0.2,0.1718943
601,1,3,0.8,0.4,0.2420596
602,1,2,1,0.4,0.8560147
602,1,2,1,0.8,0.6352364
602,1,3,1,0.2,0.4731758
602,1,4,0.8,0.4,0.6737512
602,1,5,1,0.2,0.4636201
602,1,3,1,0.8,0.6546997
602,1,1,1,0.8,0.6493323
602,1,5,1,0.8,0.4790501
602,1,4,0.8,0.2,0.3084548
602,1,3,1,0.4,0.5172057
602,1,2,0.6,0.4,0.3466787
602,1,3,1,0.6,0.4014618
602,1,5,0.6,0.2,0.1009902
602,1,2,1,0.6,0.503835
602,1,2,0.6,0.2,0.3112021
602,1,2,1,0.2,0.1633288
602,1,1,0.6,0.2,0.2493113
602,1,3,0.8,0.2,0.3665144
602,1,5,0.6,0.4,0.4886667
602,1,5,0.8,0.4,0.3991779
602,1,5,1,1,0.6493236
602,1,2,0.8,0.6,0.6646395
602,1,3,0.8,0.2,0.3777274
602,1,1,0.8,0.6,0.3181626
602,1,4,1,0.8,0.2466939
602,1,3,0.8,0.4,0.3940554
602,1,4,0.8,0.6,0.5101188
602,1,4,1,0.2,0.140736
602,1,1,1,0.2,0.04097522
602,1,2,0.8,0.4,0.2394819
602,1,2,0.8,0.2,0.3455926
602,1,3,1,1,0.7368416
602,1,4,0.6,0.4,0.6145986
602,1,3,0.8,0.6,0.6145986
602,1,3,0.6,0.4,0.7321742
602,1,3,0.8,0.4,0.4953705
602,1,2,1,1,0.4953705
602,1,1,1,1,0.762816
602,1,5,0.8,0.6,0.6365678
602,1,1,0.6,0.4,0.5119313
602,1,3,0.6,0.2,0.2536303
602,1,1,0.8,0.2,0.3413418
602,1,1,0.8,0.4,0.2705592
602,1,4,1,0.2,0.384661
602,1,1,1,0.4,0.4670468
602,1,4,0.6,0.2,0.263824
602,1,5,1,0.4,0.5833725
602,1,3,1,0.2,0.4903591
602,1,5,0.8,0.2,0.2943355
602,1,1,1,0.6,0.5047393
602,1,5,1,0.6,0.5954161
602,1,2,0.8,0.4,0.6527203
602,1,4,1,0.4,0.337296
602,1,4,1,0.6,0.6758621
602,1,4,1,1,0.483245
603,1,5,1,0.4,0.5247251
603,1,2,1,0.2,0.5633537
603,1,4,1,0.2,0.5581848
603,1,1,1,0.6,0.3803536
603,1,3,0.8,0.6,0.7496469
603,1,1,1,0.2,0.6443477
603,1,1,1,0.4,0.756289
603,1,2,0.8,0.6,0.8260594
603,1,5,0.8,0.4,0.8768529
603,1,1,0.8,0.6,0.5028346
603,1,3,0.8,0.2,0.8287659
603,1,5,0.8,0.6,0.5915958
603,1,5,1,0.6,0.707985
603,1,2,0.6,0.2,0.315062
603,1,3,0.6,0.4,0.5017141
603,1,1,1,1,0.7204062
603,1,3,1,0.8,0.8998141
603,1,3,1,0.4,0.7903879
603,1,2,1,0.4,0.6634236
603,1,3,1,1,0.8116992
603,1,1,0.8,0.2,0.2624108
603,1,5,0.6,0.2,0.1578803
603,1,1,0.8,0.4,0.5989779
603,1,1,0.8,0.6,0.7252179
603,1,2,1,1,0.7660926
603,1,2,0.8,0.4,0.3019639
603,1,1,0.6,0.2,0.5881043
603,1,2,1,0.8,0.8456924
603,1,4,1,0.6,0.7076705
603,1,5,0.6,0.4,0.7703291
603,1,4,1,0.8,0.8199455
603,1,3,0.6,0.2,0.7823393
603,1,5,1,0.2,0.3218333
603,1,5,1,1,0.7533557
603,1,1,1,0.8,0.677704
603,1,4,0.6,0.4,0.7106172
603,1,4,0.8,0.6,0.8575
603,1,4,1,0.4,0.836461
603,1,2,0.8,0.2,0.7747204
603,1,5,1,0.8,0.9138091
603,1,4,1,1,0.8545569
603,1,4,0.8,0.4,0.8186392
603,1,1,1,0.2,0.7179754
603,1,1,0.6,0.4,0.863518
603,1,4,0.6,0.2,0.7832547
603,1,5,0.8,0.2,0.3834608
603,1,3,1,0.4,0.856486
603,1,3,0.8,0.4,0.9215332
603,1,2,1,0.6,0.6962171
603,1,4,1,1,0.3603744
